着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
11,4,6,タマモナポリ,牝3,52.0,西塚洸二,1:59.4,クビ,101.0,12.0,460(0),[西] 新谷功一,202408010202
12,3,5,ファストフライト,牝3,55.0,松山弘平,1:59.9,3,5.7,3.0,480(0),[西] 宮本博,202408010202
13,1,1,モニーレ,牝3,55.0,岩田望来,2:00.1,1,16.0,8.0,458(0),[西] 茶木太樹,202408010202
14,5,9,ジョウショーローズ,牝3,54.0,松本大輝,2:00.2,3/4,204.9,14.0,440(0),[西] 新谷功一,202408010202
除,2,2,シンコーナホチャン,牝3,55.0,秋山真一,,,---,,472(0),[西] 畑端省吾,202408010202
1,6,11,パトジュニア,牡3,57.0,武豊,1:26.7,,8.0,3.0,504(-2),[西] 小崎憲,202408010203
2,4,8,ルディック,牡3,57.0,ルメート,1:26.8,1/2,1.4,1.0,512(+6),[西] 高野友和,202408010203
3,1,1,サンノーブル,セ3,57.0,和田翼,1:26.9,3/4,16.4,5.0,468(+10),[西] 谷潔,202408010203
4,8,16,ピンネシリ,牡3,57.0,松若風馬,1:27.1,1.1/4,205.1,15.0,472(+6),[西] 音無秀孝,202408010203
5,5,9,タイセイアレス,牡3,57.0,団野大成,1:27.3,1.1/4,119.7,13.0,476(+2),[西] 西村真幸,202408010203
6,3,6,ナムラビオラ,牝3,55.0,幸英明,1:27.8,3,26.2,6.0,426(+6),[西] 大橋勇樹,202408010203
7,4,7,リアルモハメド,牡3,57.0,岩田康誠,1:27.9,クビ,34.3,7.0,494(-2),[西] 清水久詞,202408010203
8,2,4,タイセイファルクス,牡3,57.0,川須栄彦,1:28.1,1.1/2,89.3,11.0,492(+2),[西] 小林真也,202408010203
9,7,13,クリノキングマン,牡3,54.0,永島まな,1:28.2,1/2,5.7,2.0,504(0),[西] 高橋康之,202408010203
10,8,15,ハクサンシャトル,牡3,57.0,鮫島良太,1:28.5,1.3/4,77.9,9.0,444(-6),[西] 飯田雄三,202408010203
11,6,12,マーベリックシチー,牡3,57.0,富田暁,1:28.5,アタマ,15.3,4.0,454(+6),[西] 岡田稲男,202408010203
12,1,2,メイショウポワロ,牝3,52.0,今村聖奈,1:28.5,ハナ,102.0,12.0,428(+4),[西] 笹田和秀,202408010203
13,5,10,カフジホルミウム,牡3,57.0,古川吉洋,1:28.7,1.1/4,44.7,8.0,506(+4),[西] 木原一良,202408010203
14,3,5,エーケーリターン,牡3,57.0,城戸義政,1:28.7,ハナ,175.6,14.0,460(0),[西] 奥村豊,202408010203
15,7,14,ダイキリ,牡3,55.0,田口貫太,1:28.7,アタマ,85.2,10.0,516(+2),[西] 西園翔太,202408010203
16,2,3,アスターエルビウム,セ3,53.0,河原田菜,1:28.9,1.1/4,297.9,16.0,488(-2),[西] 木原一良,202408010203
1,4,7,エメラルドビーチ,牡4,58.0,岩田望来,1:12.6,,2.4,1.0,534(+2),[西] 大久保龍,202408010204
2,1,1,マイネルフォーコン,牡4,58.0,川田将雅,1:12.8,1.1/2,3.5,2.0,484(+6),[西] 西園翔太,202408010204
3,7,14,マイネルサンテ,牡4,56.0,田口貫太,1:13.1,1.1/2,275.8,16.0,474(0),[西] 緒方努,202408010204
4,1,2,ルワンジュ,牡5,58.0,藤懸貴志,1:13.4,1.3/4,95.9,13.0,504(+14),[西] 千田輝彦,202408010204
5,6,12,ゴッドセンド,牡4,55.0,西塚洸二,1:13.6,1.1/2,9.8,4.0,500(+16),[西] 浜田多実,202408010204
6,2,4,カレンチャンキー,牝4,56.0,秋山真一,1:13.7,1/2,19.7,7.0,472(-2),[西] 鈴木孝志,202408010204
7,8,15,マルモリキング,牡4,58.0,和田竜二,1:13.9,1.1/4,6.2,3.0,538(0),[西] 大橋勇樹,202408010204
8,4,8,レインメーカー,牡4,58.0,藤岡康太,1:14.1,1.1/4,44.5,9.0,456(+20),[西] 安田翔伍,202408010204
9,5,10,デアデルマーレ,牝4,56.0,吉田隼人,1:14.2,1/2,15.0,5.0,484(+2),[西] 坂口智康,202408010204
10,6,11,ビリーズバウンス,牡5,55.0,永島まな,1:14.4,1.1/2,104.5,14.0,488(-4),[西] 武幸四郎,202408010204
11,3,5,アインシュペンナー,牝5,56.0,鮫島克駿,1:14.5,クビ,15.4,6.0,466(+10),[西] 牧田和弥,202408010204
12,7,13,クラップアンドチア,牡5,58.0,亀田温心,1:14.5,ハナ,40.9,8.0,530(+19),[西] 北出成人,202408010204
13,2,3,メイショウヒュウガ,牡4,58.0,団野大成,1:14.9,2.1/2,45.3,10.0,486(+2),[西] 安達昭夫,202408010204
14,3,6,ディアドコス,牡4,57.0,松本大輝,1:14.9,アタマ,89.8,12.0,498(+20),[西] 羽月友彦,202408010204
15,5,9,グローバリスト,牡4,58.0,幸英明,1:15.2,2,52.7,11.0,502(+6),[西] 西村真幸,202408010204
16,8,16,エーティースピカ,牝4,56.0,富田暁,1:15.9,4,197.3,15.0,516(+28),[西] 木原一良,202408010204
1,8,17,グロリアラウス,牡3,57.0,ルメート,1:36.7,,23.2,6.0,498(+2),[西] 斉藤崇史,202408010205
2,6,12,ミッキースターダム,牡3,57.0,川田将雅,1:36.9,1.1/4,2.5,2.0,466(+6),[西] 音無秀孝,202408010205
3,7,14,グランエシェゾー,牝3,55.0,Ｍ．デム,1:36.9,アタマ,35.2,8.0,486(+6),[西] 新谷功一,202408010205
4,6,11,ホットサマーナイト,牝3,55.0,松山弘平,1:37.2,1.3/4,2.3,1.0,424(0),[西] 藤原英昭,202408010205
5,2,4,スターアドミラル,牡3,57.0,団野大成,1:37.4,1.1/4,10.4,4.0,478(-12),[西] 池添学,202408010205
6,3,5,リアリータイト,牝3,53.0,田口貫太,1:37.4,アタマ,65.7,10.0,468(0),[西] 佐々木晶,202408010205
7,2,3,レイム,牝3,52.0,永島まな,1:37.6,1,206.6,12.0,430(-2),[西] 高橋康之,202408010205
8,4,7,ブイキャット,牝3,55.0,横山典弘,1:37.7,クビ,28.3,7.0,414(-2),[西] 北出成人,202408010205
9,7,15,ドントレットゴー,牝3,55.0,岩田康誠,1:37.8,1,62.9,9.0,444(-6),[西] 上村洋行,202408010205
10,5,10,クスクス,牝3,54.0,松本大輝,1:37.8,クビ,124.4,11.0,476(-4),[西] 松下武士,202408010205
11,4,8,シャドフ,牝3,55.0,武豊,1:37.9,クビ,14.6,5.0,440(0),[西] 庄野靖志,202408010205
12,7,13,クリノアクアマリン,牝3,55.0,森裕太朗,1:38.2,2,560.0,16.0,414(-4),[西] 藤沢則雄,202408010205
13,3,6,ウィンカラー,牝3,55.0,古川吉洋,1:38.3,1/2,326.2,15.0,460(+14),[西] 谷潔,202408010205
14,5,9,メイショウガイフウ,牡3,56.0,角田大和,1:38.4,1/2,244.2,14.0,444(0),[西] 角田晃一,202408010205
15,8,18,ウェディングケーキ,牝3,55.0,水口優也,1:39.5,7,591.1,17.0,440(+2),[西] 羽月友彦,202408010205
16,1,1,ロードトレゾール,牡3,57.0,岩田望来,1:39.6,1/2,8.7,3.0,518(0),[西] 清水久詞,202408010205
17,1,2,クリノイザナミ,牝3,55.0,幸英明,1:42.9,大,238.6,13.0,476(-10),[西] 大根田裕,202408010205
取,8,16,コスモモアナ,牡3,56.0,角田大河,,,---,,計不,[西] 宮徹,202408010205
1,2,2,アドマイヤテラ,牡3,57.0,川田将雅,2:02.8,,2.7,1.0,488(-6),[西] 友道康夫,202408010206
2,8,9,ナムラエイハブ,牡3,57.0,和田竜二,2:03.2,2.1/2,3.7,3.0,506(+10),[西] 長谷川浩,202408010206
3,4,4,カエルム,牡3,57.0,Ｍ．デム,2:03.4,1.1/4,16.3,5.0,466(-10),[西] 安田翔伍,202408010206
4,3,3,エルサビオ,牡3,57.0,ルメート,2:03.6,1.1/4,3.6,2.0,482(0),[西] 中内田充,202408010206
5,5,5,スノーブリザード,牡3,57.0,鮫島良太,2:03.6,ハナ,344.0,9.0,486(+20),[西] 畑端省吾,202408010206
6,8,8,ブラーヴイストワル,牡3,57.0,武豊,2:03.6,アタマ,6.0,4.0,500(-4),[西] 池江泰寿,202408010206
7,1,1,ガルデルクラージュ,牡3,57.0,富田暁,2:04.8,7,60.3,8.0,500(0),[西] 武英智,202408010206
8,7,7,ヴィクトリアドール,牝3,55.0,藤岡康太,2:05.3,3,25.5,7.0,510(-4),[西] 奥村豊,202408010206
中,6,6,サンセットビュー,牝3,55.0,松山弘平,,,17.2,6.0,456(0),[西] 新谷功一,202408010206
1,7,11,ハギノサステナブル,牡4,57.0,鮫島克駿,2:00.9,,1.9,1.0,478(+2),[西] 高野友和,202408010207
2,6,9,サーティファイド,牡5,58.0,幸英明,2:01.2,2,24.0,6.0,484(+8),[西] 鮫島一歩,202408010207
3,8,12,エアフォースワン,牡5,58.0,菱田裕二,2:01.7,3,29.5,7.0,466(0),[西] 大根田裕,202408010207
4,5,6,サンデーヒーロー,牡4,55.0,田口貫太,2:01.8,クビ,53.5,10.0,478(+2),[西] 中村直也,202408010207
5,7,10,フェニックスループ,牡5,58.0,富田暁,2:02.1,2,65.1,12.0,470(0),[西] 平田修,202408010207
6,8,13,テンカオーライ,牡4,57.0,荻野極,2:02.2,クビ,18.1,5.0,502(0),[西] 松下武士,202408010207
7,4,4,リオンエトワール,牡4,57.0,国分優作,2:02.3,1/2,50.1,9.0,440(+6),[東] 堀内岳志,202408010207
8,4,5,ジョウショーパワー,牡4,57.0,岩田望来,2:02.3,アタマ,38.7,8.0,466(0),[西] 中尾秀正,202408010207
9,3,3,アマートカヴァロ,牡4,57.0,藤岡康太,2:03.1,5,94.4,13.0,478(-4),[西] 笹田和秀,202408010207
10,5,7,アドマイヤソラ,牡4,57.0,川田将雅,2:03.6,3,3.1,2.0,522(+2),[西] 友道康夫,202408010207
11,6,8,エレアイム,牝5,56.0,ルメート,2:05.0,9,64.2,11.0,494(+12),[西] 奥村豊,202408010207
12,2,2,タッチャブル,牡4,57.0,松山弘平,2:05.1,1/2,17.0,4.0,520(0),[西] 中村直也,202408010207
13,1,1,ハローサブリナ,牝5,56.0,吉田隼人,2:10.4,大,8.2,3.0,522(-4),[西] 奥村豊,202408010207
1,8,16,ガラパゴス,牡5,58.0,藤岡康太,1:25.6,,8.5,4.0,494(+6),[西] 野中賢二,202408010208
2,4,8,カセノミオ,牝4,53.0,田口貫太,1:25.7,3/4,3.0,1.0,522(-6),[西] 中尾秀正,202408010208
3,4,7,カッティングジェム,牡4,57.0,菱田裕二,1:26.4,4,45.8,11.0,514(+6),[西] 小崎憲,202408010208
4,5,9,ジャスパージェット,牡5,57.0,松本大輝,1:26.4,アタマ,157.7,13.0,518(0),[西] 森秀行,202408010208
5,5,10,テイエムファルコン,牡7,58.0,鮫島良太,1:26.7,1.1/2,283.4,16.0,520(0),[西] 飯田雄三,202408010208
6,7,14,スズカコーズ,牡4,57.0,幸英明,1:26.7,ハナ,14.1,6.0,498(0),[東] 伊藤圭三,202408010208
7,2,4,アドバンスドリーム,牡5,58.0,松若風馬,1:26.7,クビ,44.3,10.0,516(0),[西] 森秀行,202408010208
8,1,1,ヴァクストゥーム,牡7,58.0,水口優也,1:27.0,1.3/4,227.2,15.0,468(0),[西] 吉田直弘,202408010208
9,6,11,ヤマニンルリュール,牝6,56.0,富田暁,1:27.1,クビ,6.0,3.0,494(+4),[西] 木原一良,202408010208
10,2,3,シモズル,牝4,54.0,角田大河,1:27.1,ハナ,28.5,8.0,500(-2),[西] 石橋守,202408010208
11,3,5,ダイリュウホマレ,牝4,55.0,松山弘平,1:27.4,1.3/4,3.4,2.0,446(-6),[西] 橋口慎介,202408010208
12,3,6,シュガーフロート,牝5,53.0,西塚洸二,1:27.5,3/4,31.2,9.0,414(-2),[西] 高柳大輔,202408010208
13,7,13,オーガスタスカイ,牝5,56.0,ルメート,1:27.8,1.3/4,68.1,12.0,488(0),[西] 斉藤崇史,202408010208
14,1,2,グッドグロウス,牡5,58.0,国分恭介,1:28.1,1.1/2,19.2,7.0,482(+16),[西] 加用正,202408010208
15,8,15,テキサスフィズ,牝5,55.0,角田大和,1:28.7,3.1/2,161.4,14.0,464(-4),[西] 小林真也,202408010208
16,6,12,スマートカリス,牝4,55.0,岩田望来,1:29.3,3.1/2,12.7,5.0,460(-2),[西] 池江泰寿,202408010208
1,1,1,ゴールデンスナップ,牝4,55.0,浜中俊,2:26.7,,3.2,2.0,458(-8),[西] 田中克典,202408010209
2,2,2,ケイアイサンデラ,牡4,57.0,藤懸貴志,2:26.7,アタマ,5.3,3.0,438(+8),[西] 小林真也,202408010209
3,5,6,ハギノアルデバラン,牡4,57.0,川田将雅,2:27.3,3.1/2,2.9,1.0,516(0),[西] 鮫島一歩,202408010209
4,7,9,カンティプール,牝5,56.0,和田竜二,2:27.5,1.1/4,24.1,6.0,500(-4),[西] 渡辺薫彦,202408010209
5,8,11,ジューンアヲニヨシ,牡4,57.0,藤岡康太,2:28.3,5,5.5,4.0,478(-4),[西] 松下武士,202408010209
6,3,3,リミットバスター,牡4,57.0,高倉稜,2:28.4,3/4,7.1,5.0,516(-8),[西] 杉山晴紀,202408010209
7,6,8,アスカノミライ,牡6,58.0,松山弘平,2:28.6,1.1/4,128.0,8.0,530(0),[西] 川村禎彦,202408010209
8,4,4,ダディーズトリップ,牡8,58.0,秋山真一,2:28.7,1/2,152.8,11.0,456(0),[西] 千田輝彦,202408010209
9,5,5,ダノンピーカブー,牡5,58.0,幸英明,2:28.8,1/2,134.6,10.0,488(+2),[西] 大久保龍,202408010209
10,7,10,レッドエンヴィー,牡8,58.0,田口貫太,2:28.8,クビ,44.0,7.0,508(+2),[西] 坂口智康,202408010209
11,6,7,クリノキングボス,牡7,58.0,酒井学,2:30.4,10,420.8,12.0,478(-8),[東] 天間昭一,202408010209
12,8,12,グローツラング,牡5,58.0,鮫島克駿,2:32.1,10,129.2,9.0,528(-2),[西] 安達昭夫,202408010209
1,4,5,サンライズロナウド,牡5,58.0,横山典弘,1:22.5,,4.5,2.0,476(-2),[西] 安田隆行,202408010210
2,6,9,レベレンシア,牡5,58.0,鮫島克駿,1:22.5,クビ,7.5,4.0,504(0),[西] 安田翔伍,202408010210
3,7,11,サトノペルセウス,セ6,58.0,西塚洸二,1:22.6,クビ,51.5,9.0,474(-6),[西] 藤原英昭,202408010210
4,5,7,ブルーシンフォニー,牡6,58.0,岩田望来,1:22.6,クビ,19.6,7.0,482(0),[東] 伊藤圭三,202408010210
5,8,13,ドグマ,牡5,58.0,戸崎圭太,1:22.6,ハナ,20.1,8.0,494(-8),[西] 武幸四郎,202408010210
6,6,8,アステロイドベルト,セ7,58.0,松山弘平,1:22.8,1,8.0,5.0,488(-2),[西] 池江泰寿,202408010210
7,1,1,ベルクレスタ,牝5,56.0,川田将雅,1:22.8,クビ,3.0,1.0,488(+2),[西] 須貝尚介,202408010210
8,7,10,ハギノメーテル,牝5,56.0,藤懸貴志,1:22.9,1/2,57.6,10.0,494(-4),[西] 寺島良,202408010210
9,5,6,メイショウドウドウ,牡9,58.0,浜中俊,1:23.0,1/2,107.3,12.0,498(0),[西] 荒川義之,202408010210
10,2,2,タガノペカ,牝6,56.0,国分恭介,1:23.2,1.1/4,5.2,3.0,510(+2),[西] 西園翔太,202408010210
11,8,12,ワンスカイ,牡7,58.0,幸英明,1:23.3,1/2,255.1,13.0,510(+4),[東] 斎藤誠,202408010210
12,3,3,ショウリュウレーヴ,牡6,58.0,団野大成,1:23.5,1.1/2,10.4,6.0,512(+2),[西] 佐々木晶,202408010210
13,4,4,エグレムニ,牡7,58.0,川須栄彦,1:23.7,3/4,81.2,11.0,510(-2),[西] 加用正,202408010210
1,7,13,テーオーステルス,牡5,57.0,川田将雅,1:24.5,,11.2,5.0,540(0),[西] 奥村豊,202408010211
2,8,14,スマートフォルス,牡4,56.0,武豊,1:24.6,3/4,5.1,2.0,482(+2),[西] 吉村圭司,202408010211
3,2,2,サンライズアムール,牡5,58.0,松山弘平,1:24.6,ハナ,5.8,3.0,520(-6),[西] 小林真也,202408010211
4,4,7,タガノクリステル,牝5,56.0,和田竜二,1:24.9,1.3/4,21.9,6.0,496(-2),[西] 長谷川浩,202408010211
5,8,15,デシエルト,牡5,58.0,戸崎圭太,1:24.9,ハナ,2.0,1.0,532(0),[西] 安田隆行,202408010211
6,3,5,クインズメリッサ,牝6,55.0,藤懸貴志,1:25.0,クビ,93.1,11.0,484(0),[西] 宮本博,202408010211
7,2,3,サトノテンペスト,牡6,57.0,Ｍ．デム,1:25.1,3/4,37.3,8.0,512(0),[西] 高橋亮,202408010211
8,7,12,タイセイアベニール,牡9,58.0,鮫島克駿,1:25.2,クビ,343.8,15.0,498(+4),[西] 西村真幸,202408010211
9,4,6,メタマックス,牡4,56.0,岩田望来,1:25.2,ハナ,7.0,4.0,522(-6),[西] 森秀行,202408010211
10,5,9,メイショウカズサ,牡7,61.0,団野大成,1:25.2,ハナ,94.7,12.0,490(+6),[西] 安達昭夫,202408010211
11,6,11,ナンヨーアイボリー,牝6,55.0,ルメート,1:26.7,9,194.6,14.0,430(-4),[西] 松永幹夫,202408010211
12,1,1,ワルツフォーラン,牝7,55.0,酒井学,1:27.4,4,93.0,10.0,488(+6),[東] 小西一男,202408010211
13,6,10,エンペザー,牡5,57.0,吉田隼人,1:27.6,1.1/2,29.2,7.0,502(+2),[西] 田中克典,202408010211
14,3,4,プルパレイ,セ5,58.0,モリス,1:28.4,5,65.6,9.0,490(-6),[西] 須貝尚介,202408010211
15,5,8,メイショウテンスイ,牡7,58.0,松若風馬,1:29.6,7,123.1,13.0,548(+10),[西] 河内洋,202408010211
1,5,5,イラーレ,牝5,56.0,幸英明,1:09.5,,5.6,3.0,460(0),[西] 北出成人,202408010212
2,8,11,キタノエクスプレス,牡6,58.0,国分優作,1:09.5,ハナ,55.3,10.0,518(+18),[西] 坂口智康,202408010212
3,2,2,アンフィニドール,牝6,56.0,岩田望来,1:09.5,アタマ,4.9,2.0,490(-10),[西] 千田輝彦,202408010212
4,5,6,ベンガン,牡7,58.0,戸崎圭太,1:09.6,1/2,13.2,8.0,474(-2),[西] 千田輝彦,202408010212
5,3,3,グランツベリー,牝4,54.0,田口貫太,1:09.7,クビ,3.1,1.0,446(+6),[西] 田中克典,202408010212
6,6,7,スマートルシーダ,牡6,58.0,武豊,1:09.7,クビ,6.5,4.0,472(0),[西] 音無秀孝,202408010212
7,8,12,ガリレイ,セ7,57.0,角田大河,1:09.9,1,9.9,5.0,512(-4),[西] 高橋亮,202408010212
8,7,9,エールレヴリー,牝4,56.0,富田暁,1:09.9,クビ,11.9,6.0,480(-10),[西] 武英智,202408010212
9,4,4,スズノヤマト,セ7,58.0,古川吉洋,1:09.9,ハナ,226.6,12.0,456(-12),[東] 尾関知人,202408010212
10,7,10,ビッグボーンリタ,牝4,53.0,永島まな,1:10.0,クビ,77.2,11.0,462(+6),[西] 高橋康之,202408010212
11,1,1,バレリーナ,牝4,56.0,モリス,1:10.0,クビ,12.5,7.0,458(-6),[西] 清水久詞,202408010212
12,6,8,テンジュイン,牝7,52.0,河原田菜,1:10.8,5,37.1,9.0,462(-6),[西] 千田輝彦,202408010212
