着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id,着順,枠番,馬番,人気
13,8.0,13.0,アイファーブレーヴ,牡6,57.0,田中健,1:16.2,9,361.2,12.0,462(0),[西] 服部利之,202109020307,,,,
1,3.0,3.0,グローブシアター,牡7,60.0,高田潤,3:26.8,,3.2,2.0,454(-6),[西] 辻野泰之,202109020308,,,,
2,5.0,5.0,ケイティクレバー,牡6,62.0,平沢健治,3:27.4,3.1/2,1.7,1.0,464(-4),[西] 杉山晴紀,202109020308,,,,
3,1.0,1.0,ホシルミエール,セ8,60.0,白浜雄造,3:29.7,大,16.3,5.0,476(+16),[西] 庄野靖志,202109020308,,,,
4,7.0,7.0,オールマンリバー,牡9,61.0,難波剛健,3:30.0,2,8.7,3.0,512(+4),[西] 五十嵐忠,202109020308,,,,
5,6.0,6.0,トーアディラン,セ8,61.0,石神深一,3:30.2,1,22.6,6.0,484(-6),[東] 藤原辰雄,202109020308,,,,
6,8.0,9.0,セイウンフォーカス,牡6,60.0,熊沢重文,3:30.6,2.1/2,11.8,4.0,490(-2),[西] 宮本博,202109020308,,,,
7,2.0,2.0,トーヨーピース,牡7,61.0,草野太郎,3:30.6,ハナ,130.0,9.0,476(-14),[東] 土田稔,202109020308,,,,
8,4.0,4.0,アズマタックン,牡8,62.0,中村将之,3:31.4,5,66.5,8.0,508(-4),[西] 加用正,202109020308,,,,
中,8.0,8.0,ノワールギャルソン,牡9,63.0,江田勇亮,,,30.8,7.0,446(+2),[東] 田村康仁,202109020308,,,,
1,1.0,1.0,リーブルミノル,牡3,56.0,松山弘平,2:26.3,,5.6,3.0,472(+8),[西] 本田優,202109020309,,,,
2,6.0,6.0,モンテディオ,牡3,56.0,池添謙一,2:26.5,1.1/4,4.8,2.0,476(-8),[西] 四位洋文,202109020309,,,,
3,8.0,8.0,テンカハル,牡3,56.0,吉田隼人,2:26.6,1,13.1,5.0,488(-6),[西] 矢作芳人,202109020309,,,,
4,2.0,2.0,グロリアムンディ,牡3,56.0,福永祐一,2:26.8,1.1/4,1.7,1.0,476(-4),[西] 大久保龍,202109020309,,,,
5,4.0,4.0,マイプレシャス,牡3,56.0,浜中俊,2:26.8,アタマ,10.6,4.0,498(+6),[西] 松永幹夫,202109020309,,,,
6,5.0,5.0,アルバーシャ,牡3,56.0,幸英明,2:26.8,アタマ,19.1,7.0,500(-6),[西] 岡田稲男,202109020309,,,,
7,7.0,7.0,サンライズゴラッソ,牡3,56.0,岩田望来,2:27.3,3,17.1,6.0,496(-2),[西] 河内洋,202109020309,,,,
8,3.0,3.0,アトミックフレア,牝3,54.0,岩田康誠,2:27.5,1,51.1,8.0,430(-4),[西] 渡辺薫彦,202109020309,,,,
1,2.0,2.0,リアンティサージュ,牡4,57.0,福永祐一,1:21.0,,1.4,1.0,456(-6),[西] 須貝尚介,202109020310,,,,
2,6.0,6.0,ワンダーアフィラド,牡5,57.0,川須栄彦,1:21.0,アタマ,20.5,4.0,492(-2),[西] 寺島良,202109020310,,,,
3,3.0,3.0,ミッキーバディーラ,牝5,55.0,和田竜二,1:21.2,1.1/2,4.1,2.0,478(0),[西] 音無秀孝,202109020310,,,,
4,1.0,1.0,スキップ,牡5,57.0,酒井学,1:21.2,ハナ,27.4,6.0,488(0),[西] 加用正,202109020310,,,,
5,4.0,4.0,ディアボレット,牝6,55.0,富田暁,1:21.4,1.1/4,27.8,7.0,458(+2),[西] 加用正,202109020310,,,,
6,7.0,7.0,セトノシャトル,牡6,57.0,松若風馬,1:21.7,1.3/4,25.0,5.0,524(0),[西] 鈴木孝志,202109020310,,,,
7,8.0,9.0,マテンロウディーバ,牝4,55.0,藤岡佑介,1:22.2,3,6.8,3.0,396(-4),[西] 中内田充,202109020310,,,,
8,5.0,5.0,ルールダーマ,牡6,57.0,西村淳也,1:22.6,2.1/2,151.1,9.0,474(+2),[西] 北出成人,202109020310,,,,
9,8.0,8.0,ルーチェデラヴィタ,牝4,55.0,幸英明,1:23.1,3,48.5,8.0,432(-6),[西] 西村真幸,202109020310,,,,
1,4.0,8.0,リアンヴェリテ,牡7,57.0,国分恭介,1:23.0,,11.4,5.0,488(+2),[西] 中竹和也,202109020311,,,,
2,4.0,7.0,バティスティーニ,牡8,55.0,鮫島克駿,1:23.4,2.1/2,25.9,11.0,496(-4),[西] 池添学,202109020311,,,,
3,8.0,15.0,テーオーターゲット,牡5,55.0,松山弘平,1:23.4,ハナ,3.3,1.0,508(-2),[西] 吉岡辰弥,202109020311,,,,
4,3.0,6.0,サヴィ,牡7,57.0,藤岡佑介,1:23.4,ハナ,7.2,3.0,468(-2),[西] 中内田充,202109020311,,,,
5,3.0,5.0,メイショウテンスイ,牡4,56.0,酒井学,1:23.5,1/2,15.9,7.0,520(+4),[西] 南井克巳,202109020311,,,,
6,8.0,16.0,グレートウォリアー,牡6,55.0,福永祐一,1:23.5,クビ,4.8,2.0,526(0),[西] 藤原英昭,202109020311,,,,
7,7.0,13.0,レシプロケイト,牡5,55.0,岩田望来,1:23.7,1.1/4,7.8,4.0,506(-4),[西] 鮫島一歩,202109020311,,,,
8,2.0,4.0,イモータルスモーク,牡4,54.0,原田和真,1:23.8,クビ,24.1,10.0,506(+2),[東] 金成貴史,202109020311,,,,
9,2.0,3.0,メイショウオーパス,牡6,54.0,幸英明,1:23.8,アタマ,13.2,6.0,508(-8),[西] 飯田祐史,202109020311,,,,
10,5.0,10.0,ロードアクシス,牡6,54.0,和田竜二,1:24.0,1.1/4,22.7,8.0,474(+2),[西] 奥村豊,202109020311,,,,
11,1.0,2.0,ホウショウナウ,牡6,55.0,藤岡康太,1:24.1,1/2,54.0,14.0,510(-16),[西] 河内洋,202109020311,,,,
12,6.0,12.0,スナークライデン,牡7,54.0,団野大成,1:24.3,1.1/2,59.1,15.0,488(+4),[西] 川村禎彦,202109020311,,,,
13,5.0,9.0,ビリーバー,牝6,52.0,城戸義政,1:24.5,3/4,94.6,16.0,464(0),[東] 石毛善彦,202109020311,,,,
14,6.0,11.0,ミッキーワイルド,牡6,57.0,岩田康誠,1:24.5,クビ,36.5,12.0,522(+14),[西] 安田隆行,202109020311,,,,
15,1.0,1.0,ヒロブレイブ,牡8,52.0,川島信二,1:24.5,アタマ,51.9,13.0,490(-6),[西] 川村禎彦,202109020311,,,,
16,7.0,14.0,ヒラボクラターシュ,牡6,56.0,秋山真一,1:24.7,1.1/4,23.3,9.0,520(0),[西] 大久保龍,202109020311,,,,
1,5.0,8.0,ヴェルテックス,牡4,57.0,西村淳也,1:51.9,,4.5,1.0,526(+8),[西] 吉岡辰弥,202109020312,,,,
2,2.0,2.0,ニュートンテソーロ,牡4,57.0,福永祐一,1:52.1,1.1/2,6.5,3.0,506(+4),[東] 田中博康,202109020312,,,,
3,1.0,1.0,ハヤブサナンデクン,牡5,57.0,吉田隼人,1:52.4,1.3/4,4.5,2.0,514(+4),[西] 吉村圭司,202109020312,,,,
4,3.0,4.0,クリノホノオ,牡4,54.0,西谷凜,1:52.5,3/4,15.1,8.0,480(-4),[西] 谷潔,202109020312,,,,
5,6.0,9.0,ロッキーサンダー,牡4,57.0,幸英明,1:52.9,2,10.1,6.0,476(-10),[西] 石橋守,202109020312,,,,
6,6.0,10.0,ペルクナス,牡5,57.0,岩田望来,1:53.1,1.1/4,20.8,10.0,544(+30),[西] 池江泰寿,202109020312,,,,
7,4.0,5.0,トゥルブレンシア,牡4,56.0,斎藤新,1:53.2,1/2,9.6,5.0,466(0),[西] 藤沢則雄,202109020312,,,,
8,3.0,3.0,リトルクレバー,牡4,57.0,団野大成,1:53.5,2,8.5,4.0,468(+2),[西] 佐々木晶,202109020312,,,,
9,8.0,14.0,モダスオペランディ,牡5,57.0,藤井勘一,1:53.5,ハナ,27.5,11.0,526(+8),[西] 西園正都,202109020312,,,,
10,5.0,7.0,プチティラン,牡5,54.0,小沢大仁,1:53.9,2.1/2,185.0,14.0,472(-6),[西] 村山明,202109020312,,,,
11,7.0,12.0,テイエムホイッスル,牡4,57.0,岩田康誠,1:54.0,1/2,16.3,9.0,488(+2),[西] 飯田雄三,202109020312,,,,
12,7.0,11.0,アジャストザルート,牡4,57.0,鮫島克駿,1:54.2,1.1/4,11.1,7.0,494(+2),[西] 池添学,202109020312,,,,
13,8.0,13.0,アイキャンテーラー,牡5,57.0,浜中俊,1:54.6,2.1/2,48.9,12.0,496(+4),[西] 飯田雄三,202109020312,,,,
14,4.0,6.0,オーケーメジャー,セ4,57.0,和田竜二,1:54.7,クビ,84.4,13.0,466(-2),[西] 奥村豊,202109020312,,,,
1,4.0,6.0,ヴェールアップ,牝3,54.0,川田将雅,1:54.0,,1.8,1.0,466(-6),[西] 橋口慎介,202109020401,,,,
2,6.0,10.0,ネフェルタリ,牝3,54.0,ルメール,1:54.0,クビ,2.3,2.0,474(+2),[西] 高柳大輔,202109020401,,,,
3,6.0,9.0,ウインブランカ,牝3,54.0,和田竜二,1:55.4,8,11.1,3.0,434(-4),[西] 梅田智之,202109020401,,,,
4,1.0,1.0,ブリリアントウェイ,牝3,54.0,松田大作,1:56.2,5,65.3,9.0,420(-4),[西] 武英智,202109020401,,,,
5,8.0,13.0,コンジェラメント,牝3,54.0,柴山雄一,1:56.4,1.1/4,49.7,7.0,450(+26),[西] 武幸四郎,202109020401,,,,
6,3.0,4.0,プレリュード,牝3,50.0,永島まな,1:56.5,1/2,54.0,8.0,430(0),[西] 高橋康之,202109020401,,,,
7,8.0,14.0,リリージャスパー,牝3,53.0,亀田温心,1:56.9,2.1/2,38.1,5.0,452(-8),[西] 平田修,202109020401,,,,
8,4.0,5.0,マルヨティアナ,牝3,51.0,小沢大仁,1:57.3,2.1/2,263.6,14.0,440(-14),[西] 牧田和弥,202109020401,,,,
9,2.0,2.0,リナーシェ,牝3,51.0,西谷凜,1:57.7,2.1/2,122.5,10.0,420(+8),[西] 四位洋文,202109020401,,,,
10,5.0,7.0,クリスバーグ,牝3,54.0,藤井勘一,1:57.8,1/2,47.0,6.0,448(-8),[西] 石坂公一,202109020401,,,,
11,7.0,11.0,メイショウスズカケ,牝3,52.0,泉谷楓真,1:58.4,4,22.7,4.0,502(0),[西] 本田優,202109020401,,,,
12,7.0,12.0,シャインローリエ,牝3,54.0,古川吉洋,1:58.5,クビ,257.1,13.0,416(0),[西] 宮徹,202109020401,,,,
13,3.0,3.0,フクシマブリリオ,牝3,54.0,荻野極,1:59.2,4,239.8,12.0,410(+8),[西] 杉山佳明,202109020401,,,,
14,5.0,8.0,ウインクロリス,牝3,54.0,国分優作,2:02.1,大,136.6,11.0,500(0),[西] 西園正都,202109020401,,,,
1,5.0,10.0,チェックメイト,牡3,56.0,吉田隼人,1:13.3,,17.4,6.0,504(-2),[西] 武幸四郎,202109020402,,,,
2,2.0,3.0,スズカキンシャサ,牡3,56.0,福永祐一,1:13.3,クビ,2.9,2.0,462(+6),[西] 上村洋行,202109020402,,,,
3,8.0,15.0,ヨシノイースター,牡3,56.0,団野大成,1:13.7,2.1/2,15.2,5.0,476(+2),[西] 中尾秀正,202109020402,,,,
4,3.0,6.0,リオンキング,牡3,56.0,池添謙一,1:13.7,クビ,7.0,3.0,462(-16),[西] 石橋守,202109020402,,,,
5,1.0,2.0,ロードサージュ,牡3,56.0,松山弘平,1:13.8,1/2,35.5,7.0,438(-6),[西] 庄野靖志,202109020402,,,,
6,4.0,8.0,クチバシニチェリー,牝3,54.0,藤懸貴志,1:13.8,ハナ,574.5,16.0,418(-4),[西] 千田輝彦,202109020402,,,,
7,1.0,1.0,キリーティー,セ3,56.0,藤岡佑介,1:14.4,3.1/2,13.1,4.0,536(-2),[西] 中竹和也,202109020402,,,,
8,8.0,16.0,スマートエルサ,牝3,53.0,斎藤新,1:14.4,クビ,274.1,13.0,436(-16),[西] 安田隆行,202109020402,,,,
9,6.0,11.0,テーオーブレイブ,牡3,56.0,川田将雅,1:14.4,アタマ,2.1,1.0,496(+6),[西] 清水久詞,202109020402,,,,
10,7.0,14.0,ハルキジェイソウル,牝3,50.0,永島まな,1:14.8,2,110.9,10.0,430(+4),[西] 浅見秀一,202109020402,,,,
11,2.0,4.0,ジョーアヤメ,牝3,54.0,鮫島克駿,1:14.8,アタマ,54.1,8.0,428(-4),[西] 中竹和也,202109020402,,,,
12,7.0,13.0,ペトログリフ,牝3,54.0,藤岡康太,1:15.2,2.1/2,161.8,12.0,408(-6),[西] 高橋義忠,202109020402,,,,
13,5.0,9.0,シゲルアスリート,牡3,56.0,加藤祥太,1:15.2,クビ,301.2,14.0,518(-2),[西] 杉山晴紀,202109020402,,,,
14,6.0,12.0,ニシノコウメイ,牡3,56.0,内田博幸,1:15.7,3,138.0,11.0,444(-2),[西] 森秀行,202109020402,,,,
15,4.0,7.0,ライムワード,セ3,53.0,松本大輝,1:16.1,2.1/2,476.1,15.0,514(0),[西] 牧浦充徳,202109020402,,,,
16,3.0,5.0,サンドプラズマ,牝3,50.0,古川奈穂,1:16.7,3.1/2,96.2,9.0,416(0),[西] 高柳大輔,202109020402,,,,
1,6.0,12.0,ワンダースティング,牡3,56.0,高倉稜,1:54.6,,12.0,5.0,508(0),[西] 渡辺薫彦,202109020403,,,,
2,6.0,11.0,タイスケフェイス,牡3,56.0,幸英明,1:54.6,クビ,2.9,1.0,466(-6),[西] 石橋守,202109020403,,,,
3,7.0,13.0,ロードトランス,牡3,56.0,ルメール,1:55.1,3,3.6,3.0,476(0),[西] 安田翔伍,202109020403,,,,
4,3.0,6.0,レッドレジェーラ,牡3,56.0,松若風馬,1:55.1,クビ,3.2,2.0,482(-2),[西] 音無秀孝,202109020403,,,,
5,4.0,8.0,ハイラブハンター,牡3,53.0,西谷凜,1:55.2,1/2,252.7,15.0,490(0),[西] 谷潔,202109020403,,,,
6,8.0,16.0,コスモシェルパ,牡3,56.0,和田竜二,1:55.4,1.1/4,32.9,7.0,446(+2),[西] 宮徹,202109020403,,,,
7,7.0,14.0,グレイテストギフト,牡3,53.0,角田大和,1:55.9,2.1/2,20.1,6.0,516(+8),[西] 松永幹夫,202109020403,,,,
8,5.0,10.0,ファインハッピー,牝3,54.0,岩田望来,1:56.8,5,49.7,8.0,462(0),[西] 杉山晴紀,202109020403,,,,
9,1.0,1.0,グランツエクラ,牡3,56.0,中井裕二,1:57.1,1.1/2,58.8,9.0,492(+6),[西] 飯田雄三,202109020403,,,,
10,4.0,7.0,トーホウノーヴァ,牡3,54.0,泉谷楓真,1:57.3,1.1/4,176.1,13.0,430(0),[西] 石坂公一,202109020403,,,,
11,3.0,5.0,バジェットライン,牝3,54.0,団野大成,1:57.3,ハナ,65.6,10.0,502(-16),[西] 田中克典,202109020403,,,,
12,2.0,3.0,メイショウシブキ,牡3,56.0,福永祐一,1:57.3,クビ,11.4,4.0,526(0),[西] 笹田和秀,202109020403,,,,
13,8.0,15.0,チョモランマ,牡3,56.0,太宰啓介,1:57.4,クビ,233.1,14.0,504(0),[西] 渡辺薫彦,202109020403,,,,
14,5.0,9.0,ヒロファイタ,牡3,56.0,鮫島克駿,1:59.6,大,126.4,11.0,490(+11),[西] 川村禎彦,202109020403,,,,
15,2.0,4.0,オースミキャスト,牡3,56.0,川須栄彦,2:01.0,8,333.8,16.0,502(+4),[西] 中尾秀正,202109020403,,,,
16,1.0,2.0,コゴメユキ,牝3,53.0,斎藤新,2:01.6,3.1/2,157.4,12.0,478(+8),[西] 吉村圭司,202109020403,,,,
1,6.0,11.0,テーオーロイヤル,牡3,56.0,菱田裕二,2:28.4,,20.0,5.0,450(+6),[西] 岡田稲男,202109020404,,,,
2,5.0,10.0,プリュムドール,牝3,54.0,川田将雅,2:28.5,クビ,2.2,2.0,450(-6),[西] 奥村豊,202109020404,,,,
3,4.0,7.0,フォルテデイマルミ,牡3,56.0,ルメール,2:28.6,1/2,2.1,1.0,484(0),[西] 須貝尚介,202109020404,,,,
4,5.0,9.0,トラウンシュタイン,牡3,56.0,和田竜二,2:29.2,3.1/2,96.4,8.0,446(0),[西] 奥村豊,202109020404,,,,
5,7.0,13.0,バケル,牡3,56.0,鮫島良太,2:29.2,ハナ,102.5,9.0,482(+2),[西] 平田修,202109020404,,,,
6,6.0,12.0,マッソニアーナ,牡3,56.0,小牧太,2:29.3,クビ,24.4,6.0,458(+2),[西] 松下武士,202109020404,,,,
7,8.0,15.0,ネビーイーム,牡3,53.0,角田大和,2:29.5,1.1/2,7.3,3.0,524(+2),[西] 佐々木晶,202109020404,,,,
8,3.0,5.0,クリノキコウシ,牡3,56.0,鮫島克駿,2:29.5,ハナ,147.3,10.0,438(-10),[西] 高橋義忠,202109020404,,,,
9,3.0,6.0,チュウワエンジェル,牝3,54.0,吉田隼人,2:29.5,ハナ,16.2,4.0,490(+12),[西] 大久保龍,202109020404,,,,
10,7.0,14.0,シゲルシュニン,牡3,56.0,古川吉洋,2:29.5,クビ,439.6,15.0,490(0),[西] 藤沢則雄,202109020404,,,,
11,2.0,3.0,コルス,牡3,56.0,松若風馬,2:29.5,ハナ,395.4,13.0,476(-2),[西] 上村洋行,202109020404,,,,
12,4.0,8.0,サンライズシリウス,牡3,56.0,川須栄彦,2:30.0,3,267.6,11.0,524(-6),[西] 河内洋,202109020404,,,,
13,1.0,2.0,マルカトップガン,牡3,53.0,小沢大仁,2:30.2,1.1/4,492.1,16.0,464(-12),[西] 松永昌博,202109020404,,,,
14,2.0,4.0,ピエナゴールド,牡3,53.0,西谷凜,2:30.2,クビ,420.3,14.0,480(+16),[西] 谷潔,202109020404,,,,
15,8.0,16.0,アワーズオブラブ,牝3,52.0,泉谷楓真,2:30.5,1.3/4,365.4,12.0,454(0),[西] 安達昭夫,202109020404,,,,
16,1.0,1.0,ブレスオブライフ,牡3,56.0,荻野琢真,2:30.7,3/4,91.0,7.0,452(-2),[西] 寺島良,202109020404,,,,
1,2.0,3.0,ジュンブルースカイ,牡3,56.0,川田将雅,1:33.5,,2.7,1.0,442(+2),[西] 友道康夫,202109020405,,,,
2,6.0,11.0,ショウナンアレス,牡3,56.0,吉田隼人,1:33.5,クビ,8.8,4.0,516(+2),[西] 池添兼雄,202109020405,,,,
3,1.0,1.0,バルドルブレイン,牡3,56.0,池添謙一,1:33.6,クビ,16.5,9.0,490(-2),[西] 奥村豊,202109020405,,,,
4,4.0,7.0,ウインアキレウス,牡3,56.0,松山弘平,1:33.6,ハナ,16.4,8.0,480(+2),[西] 加用正,202109020405,,,,
5,7.0,13.0,ハートオブアシティ,牡3,56.0,菱田裕二,1:33.7,1/2,168.9,14.0,436(+6),[西] 森田直行,202109020405,,,,
6,5.0,10.0,ヴアーサ,牡3,56.0,藤岡康太,1:33.7,クビ,124.4,13.0,446(-8),[西] 鮫島一歩,202109020405,,,,
7,8.0,15.0,ロードラスター,牡3,56.0,福永祐一,1:33.8,クビ,6.5,3.0,492(-10),[西] 千田輝彦,202109020405,,,,
8,3.0,6.0,スパイラルノヴァ,牡3,56.0,岩田望来,1:34.0,1.1/4,6.1,2.0,472(+8),[西] 藤岡健一,202109020405,,,,
9,5.0,9.0,ビップランバン,牡3,56.0,鮫島克駿,1:34.1,1,13.2,6.0,468(-4),[西] 清水久詞,202109020405,,,,
10,1.0,2.0,メモリーエフェクト,牡3,56.0,荻野琢真,1:34.2,1/2,37.0,11.0,472(-2),[西] 大久保龍,202109020405,,,,
11,8.0,16.0,デルマヤクシ,牡3,56.0,和田竜二,1:34.2,アタマ,16.1,7.0,446(-4),[西] 友道康夫,202109020405,,,,
12,2.0,4.0,ニシノガブリヨリ,牡3,56.0,松若風馬,1:34.3,1/2,283.0,16.0,472(-6),[西] 橋口慎介,202109020405,,,,
13,4.0,8.0,ヴァーチャリティ,牝3,54.0,松田大作,1:34.3,クビ,67.1,12.0,446(0),[西] 庄野靖志,202109020405,,,,
14,6.0,12.0,レゾンドゥスリール,牡3,56.0,ルメール,1:34.5,1,9.4,5.0,462(+2),[西] 須貝尚介,202109020405,,,,
15,7.0,14.0,ディヴァインラヴ,牝3,54.0,団野大成,1:34.6,1/2,36.4,10.0,470(-4),[西] 斉藤崇史,202109020405,,,,
16,3.0,5.0,ロードエルピス,牡3,56.0,三浦皇成,1:34.6,クビ,240.1,15.0,472(-2),[西] 四位洋文,202109020405,,,,
1,7.0,9.0,エブリワンブラック,牡4,57.0,ルメール,2:07.5,,1.5,1.0,480(-2),[西] 武幸四郎,202109020406,,,,
2,2.0,2.0,サウザンドスマイル,牝4,55.0,幸英明,2:07.9,2.1/2,24.7,7.0,472(+4),[西] 河内洋,202109020406,,,,
3,8.0,12.0,ムッシュパイロ,牡4,57.0,藤井勘一,2:08.1,1.1/4,52.5,9.0,548(-4),[西] 野中賢二,202109020406,,,,
4,3.0,3.0,グレートベースン,牡5,56.0,斎藤新,2:08.4,2,34.9,8.0,516(+4),[西] 橋口慎介,202109020406,,,,
5,6.0,7.0,オメガデラックス,セ4,57.0,岩田康誠,2:08.6,3/4,11.2,4.0,426(-6),[西] 安田翔伍,202109020406,,,,
6,7.0,10.0,アルマトップエンド,牡6,57.0,団野大成,2:08.7,3/4,10.3,3.0,506(0),[西] 佐々木晶,202109020406,,,,
7,1.0,1.0,ロニセラ,牝4,55.0,鮫島克駿,2:08.8,クビ,53.4,11.0,454(-4),[西] 高野友和,202109020406,,,,
8,5.0,6.0,ハーシェル,牡5,57.0,西村淳也,2:08.9,3/4,15.5,5.0,470(0),[西] 小崎憲,202109020406,,,,
9,4.0,4.0,ニシノトランザム,セ6,54.0,松本大輝,2:09.1,1,24.7,6.0,484(-8),[西] 森秀行,202109020406,,,,
10,8.0,11.0,トゥプエデス,牡5,53.0,永島まな,2:09.7,3.1/2,52.7,10.0,458(-2),[西] 高橋康之,202109020406,,,,
11,5.0,5.0,ヤンヤノカッサイ,牡4,57.0,松山弘平,2:10.1,2.1/2,4.9,2.0,516(+2),[西] 森秀行,202109020406,,,,
12,6.0,8.0,メイショウモチヅキ,牡5,54.0,小沢大仁,2:10.2,1/2,166.8,12.0,484(-5),[西] 渡辺薫彦,202109020406,,,,
1,7.0,13.0,ルコントブルー,牝4,55.0,岩田康誠,1:52.6,,10.5,6.0,544(-10),[東] 勢司和浩,202109020407,,,,
2,3.0,4.0,サトノガイア,牝4,53.0,泉谷楓真,1:52.9,2,100.8,11.0,464(-8),[西] 高橋亮,202109020407,,,,
3,6.0,11.0,ピクシーメイデン,牝5,55.0,岩田望来,1:53.0,1/2,5.1,3.0,444(0),[西] 野中賢二,202109020407,,,,
4,8.0,15.0,ワンダーエカルテ,牝5,55.0,長岡禎仁,1:53.0,クビ,11.8,7.0,506(-2),[西] 石橋守,202109020407,,,,
5,6.0,10.0,ペイシャノリッジ,牝4,55.0,ルメール,1:53.1,クビ,5.0,2.0,412(-2),[西] 吉田直弘,202109020407,,,,
6,4.0,6.0,ソプラドール,牝4,54.0,斎藤新,1:54.0,5,7.6,4.0,478(+2),[西] 安田隆行,202109020407,,,,
7,2.0,2.0,ヴィネット,牝4,55.0,松若風馬,1:54.2,1,20.1,9.0,486(-4),[西] 音無秀孝,202109020407,,,,
8,2.0,3.0,ゲンティアナ,牝5,55.0,福永祐一,1:54.2,ハナ,16.4,8.0,432(-4),[西] 松永幹夫,202109020407,,,,
9,1.0,1.0,ショウナンナデシコ,牝4,55.0,吉田隼人,1:54.3,1/2,3.8,1.0,484(-2),[西] 須貝尚介,202109020407,,,,
10,8.0,14.0,ラブスピール,牝4,55.0,松山弘平,1:55.5,7,27.3,10.0,436(+6),[西] 森田直行,202109020407,,,,
11,7.0,12.0,メイショウオトワ,牝5,55.0,酒井学,1:55.6,1/2,179.8,14.0,466(-14),[西] 飯田祐史,202109020407,,,,
12,5.0,8.0,ポポラリタ,牝4,55.0,和田竜二,1:56.0,2.1/2,9.3,5.0,514(-6),[西] 牧田和弥,202109020407,,,,
13,5.0,9.0,ナスノフォルテ,牝4,55.0,三浦皇成,1:56.8,5,125.6,13.0,480(-8),[東] 武井亮,202109020407,,,,
14,4.0,7.0,モンオール,牝5,55.0,川又賢治,1:57.3,3,123.0,12.0,462(-2),[西] 平田修,202109020407,,,,
15,3.0,5.0,ウンダモシタン,牝4,54.0,亀田温心,1:57.9,3.1/2,213.4,15.0,460(+10),[西] 藤沢則雄,202109020407,,,,
1,4.0,7.0,ダイシンイナリ,牡4,57.0,岩田康誠,1:24.6,,10.3,5.0,526(0),[西] 吉田直弘,202109020408,,,,
2,5.0,10.0,サンライズラポール,牡4,56.0,斎藤新,1:24.7,1,3.2,1.0,510(0),[西] 平田修,202109020408,,,,
3,8.0,16.0,ドゥリトル,牡6,57.0,国分恭介,1:24.8,3/4,260.4,16.0,494(-2),[西] 村山明,202109020408,,,,
4,6.0,11.0,アフィラトゥーラ,牡4,57.0,菱田裕二,1:25.0,1.1/4,32.2,12.0,506(+6),[西] 森田直行,202109020408,,,,
5,1.0,1.0,スズカクローカス,牝5,55.0,中井裕二,1:25.4,2,28.1,10.0,450(+2),[西] 杉山佳明,202109020408,,,,
6,4.0,8.0,トゥインクルリーフ,牝5,55.0,ルメール,1:25.4,クビ,9.7,4.0,458(+6),[西] 吉岡辰弥,202109020408,,,,
7,3.0,6.0,グラデュエイト,牡6,57.0,川田将雅,1:25.4,アタマ,15.8,8.0,508(-2),[東] 加藤征弘,202109020408,,,,
8,7.0,14.0,メイショウマサヒメ,牝4,53.0,泉谷楓真,1:25.5,クビ,5.6,2.0,488(0),[西] 本田優,202109020408,,,,
9,6.0,12.0,ストームガスト,牡5,57.0,鮫島克駿,1:25.5,クビ,6.3,3.0,462(0),[西] 寺島良,202109020408,,,,
10,8.0,15.0,イルミネーター,牡4,57.0,藤岡康太,1:25.7,3/4,15.3,6.0,488(+8),[西] 羽月友彦,202109020408,,,,
11,7.0,13.0,タイキラッシュ,牡4,57.0,三浦皇成,1:25.7,アタマ,15.3,7.0,512(0),[東] 高木登,202109020408,,,,
12,2.0,3.0,ダンシングサンダー,牡4,57.0,松山弘平,1:25.9,1,45.8,14.0,480(-6),[東] 伊藤圭三,202109020408,,,,
13,5.0,9.0,ヤウガウ,牡4,57.0,幸英明,1:25.9,アタマ,22.2,9.0,482(-2),[西] 須貝尚介,202109020408,,,,
14,3.0,5.0,タイトロープウィン,牝5,55.0,藤岡佑介,1:26.1,1.1/4,137.1,15.0,432(-12),[東] 藤原辰雄,202109020408,,,,
15,1.0,2.0,ロングファイナリー,セ5,57.0,長岡禎仁,1:26.2,3/4,34.1,13.0,468(+4),[西] 高橋亮,202109020408,,,,
16,2.0,4.0,ケイアイワイプ,牡4,57.0,吉田隼人,1:28.1,大,28.2,11.0,478(-18),[西] 西村真幸,202109020408,,,,
1,6.0,6.0,ニホンピロスクーロ,セ4,57.0,小牧太,2:01.4,,7.1,4.0,496(0),[西] 服部利之,202109020409,,,,
2,7.0,7.0,ヒルノダカール,牡5,57.0,池添謙一,2:02.8,8,5.2,2.0,512(+2),[西] 北出成人,202109020409,,,,
3,3.0,3.0,エールブラーヴ,牡4,57.0,松若風馬,2:02.8,ハナ,9.9,6.0,476(+4),[西] 橋口慎介,202109020409,,,,
4,8.0,9.0,ヴィクターバローズ,牡4,57.0,ルメール,2:03.1,1.3/4,9.3,5.0,472(-14),[東] 堀宣行,202109020409,,,,
5,8.0,8.0,ヴァンベールシチー,セ7,57.0,和田竜二,2:03.2,1/2,109.0,8.0,416(-2),[東] 辻哲英,202109020409,,,,
6,2.0,2.0,サンテローズ,牝4,55.0,松山弘平,2:03.4,1.1/4,2.0,1.0,512(-2),[西] 西村真幸,202109020409,,,,
7,5.0,5.0,ルリアン,牡4,57.0,団野大成,2:03.5,3/4,5.4,3.0,520(-12),[西] 佐々木晶,202109020409,,,,
