race_id,race_title,course_len_type,weather_text,condition_text,着順,枠番,馬番,馬名,騎手,タイム,斤量,調教師,性齢,馬体重
202401010101,202401010101,"09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良",1,,5,ポッドベイダー,佐々木,1:08.8,462(-2),"美浦


上原佑",,
202401010101,202401010101,"09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良",2,,2,ニシノクードクール,武藤,1:09.1,452(-2),"美浦


武藤",,
202401010101,202401010101,"09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良",3,,3,ロードヴェルト,横山武,1:09.4,416(+6),"栗東


牧浦",,
202401010101,202401010101,"09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良",4,,1,ルージュアマリア,永野,1:10.0,410(+6),"美浦


黒岩",,
202401010101,202401010101,"09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良","09:50発走 / 芝1200m (右 A)
/ 天候:晴
/ 馬場:良",5,,4,ロードヴァルカン,☆角田河,1:10.1,438(-2),"栗東


中村",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",1,,2,タミゼ,北村友,0:59.5,474(-2),"栗東


平田",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",2,,5,タマモアルタイル,武豊,1:00.0,494(+4),"美浦


水野",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",3,,6,ウィスピースノー,☆角田河,1:00.1,434(0),"栗東


今野",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",4,,6,スキーサンダー,▲小林勝,1:00.1,474(-2),"美浦


辻",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",5,,7,ゴールドタリスマン,武藤,1:00.2,424(+8),"美浦


稲垣",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",6,,3,コパマエチャン,▲長浜,1:00.2,476(0),"美浦


大和田",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",7,,4,スリーボビー,永野,1:00.2,482(-4),"美浦


伊藤圭",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",8,,8,メトゥス,佐々木,1:00.4,458(+6),"美浦


堀内",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",9,,7,ブートストラップ,▲川端,1:01.1,486(-6),"美浦


本間",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",10,,8,クミンフレイバー,鮫島駿,1:01.2,438(+4),"美浦


松永康",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",11,,1,ロマンスヒコー,大野,1:01.4,444(-8),"美浦


佐藤吉",,
202401010102,202401010102,"10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良","10:25発走 / ダ1000m (右)
/ 天候:晴
/ 馬場:良",12,,5,タイセイフォルテ,横山武,1:01.8,486(0),"栗東


西村",,
202401010103,202401010103,"10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良","10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良","10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良",1,,3,メイショウソムリエ,武豊,1:46.9,522(+14),"美浦


蛯名正",,
202401010103,202401010103,"10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良","10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良","10:55発走 / ダ1700m (右)
/ 天候:晴
/ 馬場:良",2,,5,リアルペガサス,菱田,1:47.6,456(0),"栗東


大橋",,
